Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-07-10 12:50 (-04),Live,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2021-06-26 13:22 (-04),234,132,41%,86,18.02,8.86,440,142.60,,
2021-07-11 09:45 (-04),Live,Hannah Frankson,30,Cycling,Music,30 min EDM Ride,2021-07-09 08:55 (-04),231,128,43%,78,17.68,8.84,410,134.50,,
2021-07-12 09:45 (-04),Live,Sam Yo,30,Cycling,Music,30 min 2010s Ride,2021-07-07 02:25 (-04),238,132,43%,80,17.90,8.95,438,140.35,,
2021-07-13 08:09 (-04),On Demand,Sam Yo,30,Cycling,Low Impact,30 min Low Impact Ride,2021-06-30 02:24 (-04),207,115,38%,85,16.93,8.47,365,124.91,,
2021-07-14 09:15 (-04),Live,Sam Yo,30,Cycling,Music,30 min Spotify Hot Hits Australia Ride,2021-07-13 16:54 (-04),228,127,42%,82,17.66,8.83,397,131.76,,
2021-07-14 09:45 (-04),On Demand,Sam Yo,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-04 04:05 (-04),26,87,37%,77,15.14,1.26,63,128.21,,
2021-07-16 09:16 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min 2010s Ride,2021-07-07 02:25 (-04),230,128,42%,80,17.37,8.69,401,132.58,,
2021-07-16 09:47 (-04),On Demand,Hannah Frankson,10,Cycling,Cool Down,10 min Cool Down Ride,2021-06-09 01:35 (-04),63,105,40%,80,16.39,2.74,127,127.91,,
2021-07-17 09:27 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min Rock Ride,2021-06-12 08:25 (-04),242,134,44%,79,18.11,9.06,421,136.83,,
2021-07-17 09:58 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2021-04-22 01:00 (-04),65,108,40%,79,16.64,2.77,131,130.93,,
2021-07-18 09:32 (-04),On Demand,Jess King,30,Cycling,Theme,30 min Sweat Steady Ride,2021-07-17 11:54 (-04),228,127,42%,80,17.62,8.81,400,132.41,,
2021-07-18 10:02 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2021-04-22 01:00 (-04),70,117,41%,80,17.22,2.87,138,135.03,,
2021-07-19 08:42 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min 2000s Pop Ride,2021-06-15 02:25 (-04),217,121,42%,78,17.10,8.55,381,128.31,,
2021-07-19 09:12 (-04),On Demand,Sam Yo,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-04 04:05 (-04),31,105,39%,81,16.48,1.37,62,126.90,,
2021-07-20 09:05 (-04),On Demand,Sam Yo,45,Cycling,Music,45 min Pop Ride,2020-11-23 13:25 (-04),303,112,40%,81,16.68,12.52,508,119.25,,
2021-07-20 09:51 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2021-04-22 01:00 (-04),73,122,42%,79,17.55,2.93,130,130.02,,
2021-07-20 10:03 (-04),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-07-08 09:00 (-04),,,,,,,47,107.79,,
2021-07-22 08:55 (-04),On Demand,Ben Alldis,45,Cycling,Music,45 min 2010s Ride,2021-01-25 02:55 (-04),330,122,40%,84,17.32,12.99,622,135.46,,
2021-07-22 09:40 (-04),On Demand,Ben Alldis,15,Cycling,Cool Down,15 min Cool Down Ride,2019-09-11 03:47 (-04),90,100,38%,80,16.09,4.03,200,132.10,,
2021-07-27 09:05 (-04),On Demand,Sam Yo,45,Cycling,Music,45 min Pop Ride,2020-11-23 13:25 (-04),345,128,42%,80,17.66,13.25,587,130.48,,
2021-07-27 09:51 (-04),On Demand,Ben Alldis,15,Cycling,Cool Down,15 min Cool Down Ride,2019-09-11 03:47 (-04),94,104,39%,81,16.45,4.12,199,131.66,,
2021-07-28 09:23 (-04),On Demand,Matt Wilpers,45,Cycling,Low Impact,45 min Low Impact Ride,2019-12-20 07:49 (-04),287,106,40%,80,16.45,12.34,491,116.83,,
2021-07-28 10:10 (-04),On Demand,Leanne Hainsby,10,Cycling,Cool Down,10 min Cool Down Ride,2021-05-24 01:45 (-04),68,112,40%,81,16.88,2.82,129,129.53,,
2021-07-29 09:12 (-04),On Demand,Sam Yo,45,Cycling,Music,45 min 90s Rock Ride,2021-05-08 08:25 (-04),346,128,43%,78,17.59,13.19,578,129.12,,
2021-07-29 09:58 (-04),On Demand,Ben Alldis,15,Cycling,Cool Down,15 min Cool Down Ride,2019-09-11 03:47 (-04),100,111,39%,83,16.87,4.23,199,131.63,,
2021-08-01 09:55 (-04),On Demand,Sam Yo,60,Cycling,Music,60 min Rock Ride,2021-04-17 08:25 (-04),439,122,42%,80,17.36,17.36,805,132.85,,
2021-08-01 10:56 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2021-04-22 01:00 (-04),60,99,41%,74,16.12,2.69,132,131.35,,
